subject_id	predicate_modifier	predicate_id	object_id	creator_id	mapping_justification	comment
bioregistry:abcd	Not	skos:exactMatch	fairsharing:FAIRsharing.kr3215	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:abs	Not	skos:exactMatch	aberowl:ABS	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ac	Not	skos:exactMatch	bioportal:AC	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ac	Not	skos:exactMatch	fairsharing:FAIRsharing.md3e78	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ac	Not	skos:exactMatch	lov:ac	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:aeo	Not	skos:exactMatch	agroportal:AEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:afo	Not	skos:exactMatch	agroportal:AFO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:agricola	Not	skos:exactMatch	lov:agr	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:ark	Not	skos:exactMatch	bartoc:20297	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:atc	Not	skos:exactMatch	agroportal:ATC	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:atc	Not	skos:exactMatch	hl7:2.16.840.1.113883.6.77	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:bcgo	Not	skos:exactMatch	fairsharing:FAIRsharing.2hzttx	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:bto	Not	skos:exactMatch	lov:bto	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cco	Not	skos:exactMatch	lov:cco	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:citexplore	Not	skos:exactMatch	aberowl:CTX	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:citexplore	Not	skos:exactMatch	bioportal:CTX	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cl	Not	skos:exactMatch	lov:cl	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cmo	Not	skos:exactMatch	lov:cmo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cp	Not	skos:exactMatch	fairsharing:FAIRsharing.wP3t2L	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cro	Not	skos:exactMatch	lov:cro	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:csp	Not	skos:exactMatch	lov:csp	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	aberowl:CST	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	bioportal:CST	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cst	Not	skos:exactMatch	hl7:2.16.840.1.113883.6.62	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:cto	Not	skos:exactMatch	lov:cto	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dicom	Not	skos:exactMatch	lov:dicom	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dpo	Not	skos:exactMatch	lov:dpo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dpv	Not	skos:exactMatch	zazuko:dpv	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:dso	Not	skos:exactMatch	lov:dso	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:eo	Not	skos:exactMatch	bioportal:EO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:eol	Not	skos:exactMatch	fairsharing:FAIRsharing.3J6NYn	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epio	Not	skos:exactMatch	fairsharing:FAIRsharing.p6412v	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epo	Not	skos:exactMatch	aberowl:EPO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epo	Not	skos:exactMatch	bioportal:EPO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:epso	Not	skos:exactMatch	fairsharing:FAIRsharing.p6412v	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:genbase	Not	skos:exactMatch	fairsharing:FAIRsharing.3da56b	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	aberowl:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	biocontext:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	bioportal:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	fairsharing:FAIRsharing.27rndz	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	lov:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	obofoundry:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	ols:geo	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
bioregistry:geo	Not	skos:exactMatch	ontobee:GEO	orcid:0000-0003-4423-4370	semapv:ManualMappingCuration	
